Transcation_Date,Circle_Name,Dist_Name,Mineral_Name,Royalty_Amount
10-17-24 12:00 AM,KOIRA,SUNDERGARH,NULL,500
03-18-23 12:00 AM,TALCHER,ANGUL,NULL,11
04-20-23 12:00 AM,TALCHER,ANGUL,NULL,10
12-17-24 12:00 AM,BERHAMPUR,GANJAM,NULL,12.3
06-23-22 12:00 AM,JODA,KEONJHAR,NULL,383.2
02-01-2024 00:00,JODA,KEONJHAR,NULL,609.9
01-18-25 12:00 AM,BERHAMPUR,GANJAM,NULL,10
11-16-24 12:00 AM,BERHAMPUR,GANJAM,NULL,10
11-25-23 12:00 AM,JODA,KEONJHAR,NULL,1000
01-12-2023 00:00,JODA,KEONJHAR,NULL,2000
01-20-23 12:00 AM,BERHAMPUR,GANJAM,NULL,10
03-19-24 12:00 AM,BERHAMPUR,GANJAM,NULL,4.6
06-26-23 12:00 AM,JODA,KEONJHAR,NULL,10
08-29-23 12:00 AM,JODA,KEONJHAR,NULL,80
11-23-24 12:00 AM,JODA,KEONJHAR,NULL,50
03-12-2024 00:00,JAJPUR ROAD,JAGATSINGHPUR,NULL,250
08-24-23 12:00 AM,JAJPUR ROAD,JAGATSINGHPUR,NULL,251.5
07-02-2024 00:00,JODA,KEONJHAR,NULL,50
06-23-22 12:00 AM,JODA,KEONJHAR,NULL,100
03-21-23 12:00 AM,JAJPUR ROAD,JAGATSINGHPUR,NULL,1000
03-11-2024 00:00,JAJPUR ROAD,JAGATSINGHPUR,NULL,3000.1
02-14-25 12:00 AM,SAMBALPUR,SAMBALPUR,NULL,10
12-02-2024 00:00,SAMBALPUR,SAMBALPUR,NULL,400
10-08-2023 00:00,NULL,NULL,NULL,150
01-29-24 12:00 AM,NULL,NULL,NULL,150
02-10-2024 00:00,JAJPUR ROAD,JAGATSINGHPUR,NULL,278
02-03-2024 00:00,JAJPUR ROAD,JAGATSINGHPUR,NULL,220.5
07-02-2024 00:00,NULL,NULL,NULL,150
12-18-24 12:00 AM,NULL,NULL,NULL,150
01-25-24 12:00 AM,NULL,NULL,NULL,150
03-15-24 12:00 AM,JAJPUR ROAD,JAGATSINGHPUR,NULL,323.6
06-29-23 12:00 AM,JAJPUR ROAD,JAGATSINGHPUR,NULL,30
12-16-23 12:00 AM,NULL,NULL,NULL,150
03-04-2024 00:00,NULL,NULL,NULL,150
10-10-2024 00:00,NULL,NULL,NULL,150
02-01-2025 00:00,ROURKELA,SUNDERGARH,NULL,100
05-09-2024 00:00,BARIPADA,BHADRAK,NULL,200
03-20-24 12:00 AM,JAJPUR ROAD,JAGATSINGHPUR,NULL,100
01-17-24 12:00 AM,BARIPADA,BALESHWAR,NULL,20
04-22-24 12:00 AM,KEONJHAR,KEONJHAR,NULL,500
07-19-24 12:00 AM,KEONJHAR,KEONJHAR,NULL,20
01-03-2025 00:00,BARIPADA,BALESHWAR,NULL,10
10-17-24 12:00 AM,BARIPADA,BALESHWAR,LIMESTONE,1000
04-16-24 12:00 AM,JODA,KEONJHAR,NULL,58
01-24-25 12:00 AM,JODA,KEONJHAR,NULL,50
09-26-24 12:00 AM,BARIPADA,BALESHWAR,LIMESTONE,20
09-27-23 12:00 AM,BERHAMPUR,GANJAM,ILMENITE,100
12-30-23 12:00 AM,JODA,KEONJHAR,NULL,20
11-09-2023 00:00,JODA,KEONJHAR,NULL,20
07-11-2024 00:00,BERHAMPUR,GANJAM,ILMENITE,50
01-08-2025 00:00,BERHAMPUR,GANJAM,NULL,30
02-24-23 12:00 AM,JODA,KEONJHAR,NULL,100
12-07-2022 00:00,JODA,KEONJHAR,NULL,500
06-26-23 12:00 AM,BERHAMPUR,GANJAM,NULL,10
11-18-24 12:00 AM,BERHAMPUR,GANJAM,NULL,10
02-07-2024 00:00,JODA,KEONJHAR,NULL,810
12-06-2022 00:00,JODA,KEONJHAR,NULL,500
04-15-23 12:00 AM,BERHAMPUR,GANJAM,NULL,16.2
01-27-23 12:00 AM,BERHAMPUR,GANJAM,NULL,2400
12-21-22 12:00 AM,JODA,KEONJHAR,NULL,400
08-29-24 12:00 AM,JODA,KEONJHAR,NULL,363.5
03-20-23 12:00 AM,CUTTACK,CUTTACK,NULL,10
02-21-24 12:00 AM,CUTTACK,CUTTACK,COAL,20
12-09-2023 00:00,JODA,KEONJHAR,NULL,1000
03-16-24 12:00 AM,JODA,KEONJHAR,NULL,91.4
06-02-2023 00:00,JODA,KEONJHAR,NULL,500
09-27-23 12:00 AM,JODA,KEONJHAR,NULL,10
10-12-2023 00:00,JODA,KEONJHAR,NULL,500
05-03-2024 00:00,CUTTACK,CUTTACK,NULL,5600
03-20-25 12:00 AM,CUTTACK,CUTTACK,NULL,500
12-23-24 12:00 AM,NULL,NULL,NULL,150
09-12-2023 00:00,NULL,NULL,NULL,150
10-25-24 12:00 AM,NULL,NULL,NULL,150
11-06-2023 00:00,NULL,NULL,NULL,150
12-23-22 12:00 AM,NULL,NULL,NULL,150
07-20-23 12:00 AM,NULL,NULL,NULL,150
04-04-2023 00:00,NULL,NULL,NULL,150
10-06-2023 00:00,NULL,NULL,NULL,150
11-02-2023 00:00,NULL,NULL,NULL,150
05-15-24 12:00 AM,NULL,NULL,NULL,150
05-14-24 12:00 AM,NULL,NULL,NULL,150
12-26-23 12:00 AM,NULL,NULL,NULL,150
05-15-23 12:00 AM,NULL,NULL,NULL,150
06-23-24 12:00 AM,NULL,NULL,NULL,150
02-27-24 12:00 AM,NULL,NULL,NULL,150
06-28-24 12:00 AM,NULL,NULL,NULL,150
10-12-2022 00:00,NULL,NULL,NULL,150
12-15-22 12:00 AM,NULL,NULL,NULL,150
07-22-22 12:00 AM,NULL,NULL,NULL,150
12-09-2024 00:00,NULL,NULL,NULL,150
04-10-2023 00:00,NULL,NULL,NULL,150
07-28-23 12:00 AM,NULL,NULL,NULL,150
10-05-2023 00:00,NULL,NULL,NULL,150
09-16-23 12:00 AM,NULL,NULL,NULL,150
09-30-24 12:00 AM,NULL,NULL,NULL,150
02-01-2024 00:00,NULL,NULL,NULL,150
06-03-2024 00:00,NULL,NULL,NULL,150
11-03-2023 00:00,NULL,NULL,NULL,150
06-12-2023 00:00,NULL,NULL,NULL,150
